2025-01-21 20:43:37,846 samples: 786
2025-01-21 20:43:41,485 samples: 792
2025-01-21 20:43:45,122 samples: 798
2025-01-21 20:43:48,764 samples: 804
2025-01-21 20:43:52,408 samples: 810
2025-01-21 20:43:56,053 samples: 816
2025-01-21 20:43:59,698 samples: 822
2025-01-21 20:44:03,341 samples: 828
2025-01-21 20:44:06,989 samples: 834
2025-01-21 20:44:10,639 samples: 840
2025-01-21 20:44:14,285 samples: 846
2025-01-21 20:44:17,927 samples: 852
2025-01-21 20:44:21,571 samples: 858
2025-01-21 20:44:25,212 samples: 864
2025-01-21 20:44:28,859 samples: 870
2025-01-21 20:44:32,504 samples: 876
2025-01-21 20:44:36,148 samples: 882
2025-01-21 20:44:39,789 samples: 888
2025-01-21 20:44:43,434 samples: 894
2025-01-21 20:44:47,074 samples: 900
2025-01-21 20:44:50,714 samples: 906
2025-01-21 20:44:54,352 samples: 912
2025-01-21 20:44:57,988 samples: 918
2025-01-21 20:45:01,625 samples: 924
2025-01-21 20:45:05,261 samples: 930
2025-01-21 20:45:08,894 samples: 936
2025-01-21 20:45:12,522 samples: 942
2025-01-21 20:45:16,152 samples: 948
2025-01-21 20:45:19,783 samples: 954
2025-01-21 20:45:23,410 samples: 960
2025-01-21 20:45:27,039 samples: 966
2025-01-21 20:45:30,672 samples: 972
2025-01-21 20:45:34,296 samples: 978
2025-01-21 20:45:37,918 samples: 984
2025-01-21 20:45:41,545 samples: 990
2025-01-21 20:45:45,176 samples: 996
2025-01-21 20:45:48,798 samples: 1002
2025-01-21 20:45:48,798 samples: 1002
2025-01-21 20:45:53,395 FID: 48.56233714265073
2025-01-21 20:45:53,396 sample_time: 605.2030026912689, fid_time: 4.597058296203613
2025-01-21 20:45:53,521 cand: [0.0010000000474974513, 0.10090000182390213, 0.20080000162124634, 0.30070000886917114, 0.40059998631477356, 0.5005000233650208, 0.6003999710083008, 0.7002999782562256, 0.8001999855041504, 0.9000999927520752, 1.0], fid: 48.56233714265073
2025-01-21 20:45:53,521 random select ........
2025-01-21 20:45:57,228 samples: 6
2025-01-21 20:46:00,817 samples: 12
2025-01-21 20:46:04,413 samples: 18
2025-01-21 20:46:08,014 samples: 24
2025-01-21 20:46:11,617 samples: 30
2025-01-21 20:46:15,223 samples: 36
2025-01-21 20:46:18,829 samples: 42
2025-01-21 20:46:22,438 samples: 48
2025-01-21 20:46:26,055 samples: 54
2025-01-21 20:46:29,678 samples: 60
2025-01-21 20:46:33,300 samples: 66
2025-01-21 20:46:36,929 samples: 72
2025-01-21 20:46:40,561 samples: 78
2025-01-21 20:46:44,192 samples: 84
2025-01-21 20:46:47,828 samples: 90
2025-01-21 20:46:51,464 samples: 96
2025-01-21 20:46:55,101 samples: 102
2025-01-21 20:46:58,743 samples: 108
2025-01-21 20:47:02,388 samples: 114
2025-01-21 20:47:06,032 samples: 120
2025-01-21 20:47:09,679 samples: 126
2025-01-21 20:47:13,325 samples: 132
2025-01-21 20:47:16,977 samples: 138
2025-01-21 20:47:20,626 samples: 144
2025-01-21 20:47:24,276 samples: 150
2025-01-21 20:47:27,931 samples: 156
2025-01-21 20:47:31,585 samples: 162
2025-01-21 20:47:35,240 samples: 168
2025-01-21 20:47:38,898 samples: 174
2025-01-21 20:47:42,558 samples: 180
2025-01-21 20:47:46,213 samples: 186
2025-01-21 20:47:49,870 samples: 192
2025-01-21 20:47:53,526 samples: 198
2025-01-21 20:47:57,182 samples: 204
2025-01-21 20:48:00,833 samples: 210
2025-01-21 20:48:04,483 samples: 216
2025-01-21 20:48:08,129 samples: 222
2025-01-21 20:48:11,778 samples: 228
2025-01-21 20:48:15,419 samples: 234
2025-01-21 20:48:19,056 samples: 240
2025-01-21 20:48:22,693 samples: 246
2025-01-21 20:48:26,327 samples: 252
2025-01-21 20:48:29,954 samples: 258
2025-01-21 20:48:33,578 samples: 264
2025-01-21 20:48:37,198 samples: 270
2025-01-21 20:48:40,812 samples: 276
2025-01-21 20:48:44,427 samples: 282
2025-01-21 20:48:48,040 samples: 288
2025-01-21 20:48:51,654 samples: 294
2025-01-21 20:48:55,266 samples: 300
2025-01-21 20:48:58,873 samples: 306
2025-01-21 20:49:02,479 samples: 312
2025-01-21 20:49:06,088 samples: 318
2025-01-21 20:49:09,694 samples: 324
2025-01-21 20:49:13,295 samples: 330
2025-01-21 20:49:16,893 samples: 336
2025-01-21 20:49:20,491 samples: 342
2025-01-21 20:49:24,088 samples: 348
2025-01-21 20:49:27,686 samples: 354
2025-01-21 20:49:31,282 samples: 360
2025-01-21 20:49:34,878 samples: 366
2025-01-21 20:49:38,475 samples: 372
2025-01-21 20:49:42,067 samples: 378
2025-01-21 20:49:45,664 samples: 384
2025-01-21 20:49:49,261 samples: 390
2025-01-21 20:49:52,858 samples: 396
